"id","name","type","status","created_at","updated_at"
"1466bba2-3c45-4dda-8c23-97b726dd5e67","test.org","domain","active","2026-03-07 07:35:00.426314","2026-03-07 07:35:00.426314"
"18d37480-c97b-4ab2-bbca-3d650265cc2f","batch2.com","domain","active","2026-03-07 09:12:04.221029","2026-03-07 09:12:04.221029"
"31f71c3c-425b-4bbb-9ec2-b8d37e168f14","192.168.1.1","ip","active","2026-03-07 07:35:00.43973","2026-03-07 07:35:00.43973"
"37a202b0-53b8-4187-b9fc-1c740ae22666","Auto Reconnect CRUD","domain","active","2026-03-07 14:49:56.529621","2026-03-07 14:49:56.529621"
"576682d6-7922-49d5-8fdc-4dcacd15616a","example.com","domain","active","2026-03-07 07:34:46.532431","2026-03-07 07:34:46.532431"
"57891de3-62b4-4ef3-b172-115091f90eae","test22.com","domain","active","2026-03-07 09:20:44.028367","2026-03-07 09:20:44.028367"
"7e8e24ce-68e1-47ff-b81b-181fc4009a9c","check-db-test.com","domain","active","2026-03-07 13:25:23.292085","2026-03-07 13:25:23.292085"
"81c92790-3f8a-4c7d-95c4-396cb2861afb","test11.com","domain","active","2026-03-07 09:20:44.028367","2026-03-07 09:20:44.028367"
"8e2cc6b9-48a7-4da0-91ca-fa028d7d34fb","del-test2.com","ip","active","2026-03-07 10:02:37.071709","2026-03-07 10:02:37.071709"
"9bcd34c9-c4e1-460a-8105-cdae4c63aca7","batch1.com","domain","active","2026-03-07 09:11:19.10794","2026-03-07 09:11:19.10794"
"a3462d65-ab1d-418b-905a-f02b20f0c81d","https-443","service","active","2026-03-07 07:35:00.446879","2026-03-07 07:35:00.446879"
"b7155d04-a277-44a7-805f-ee94bb22c1d9","Test After Reconnect","domain","active","2026-03-07 14:42:38.017849","2026-03-07 14:42:38.017849"
"bc62455e-bbfb-44d2-8ebd-c9b9c59222cc","DoMaIn.com","domain","active","2026-03-08 08:33:18.954025","2026-03-08 08:33:18.954025"
"c21ae43f-06dd-45c2-be0c-0088b5df4d53","del-test1.com","domain","active","2026-03-07 10:02:37.05182","2026-03-07 10:02:37.05182"
"c4e515ce-2053-4be7-be9c-c018f3139034","batch1.com","domain","active","2026-03-07 09:12:04.221029","2026-03-07 09:12:04.221029"
"e40c1e49-253e-4f2a-84b3-6745ccdd12d8","10.0.0.1","ip","active","2026-03-07 09:11:19.10794","2026-03-07 09:11:19.10794"
"f3af9849-eac3-4a2c-97f0-9f8f7f99ba54","batch2.com","domain","active","2026-03-07 09:11:19.10794","2026-03-07 09:11:19.10794"
